"id_individu";"nom";"prenom";"pays";"annee";"photo"
44;"Pakula";"Alan J.";"US";1928;"https://www.google.com/search?q=Pakula+Alan+J&client=firefox-b-d&bih=750&biw=1536&hl=fr&sxsrf=ALeKk01MuRKjx6JZwpZ_TM0dpDedxy-Eng:1618144517441&tbm=isch&source=iu&ictx=1&fir=7Jy3DNVLlRwaxM%252CNpwKqHbt5wms0M%252C%252Fm%252F03fqv5&vet=1&usg=AI4_-kTf1-_73hqSZbkpybGKoR3nCcGxMQ&sa=X&ved=2ahUKEwiH3KCJmvbvAhWvDWMBHXTODVIQ_B16BAgeEAE#imgrc=7Jy3DNVLlRwaxM"
45;"Winkler";"Irwin";"US";1931;"https://www.google.com/search?q=Winkler+irwin&client=firefox-b-d&bih=750&biw=1536&hl=fr&sxsrf=ALeKk003Sqt5UCjN0aThIaqGnAUiDQSdDw:1618144559889&tbm=isch&source=iu&ictx=1&fir=zxnIBPU2TUC-aM%252CQmdHxbrURMv6vM%252C%252Fm%252F04t38b&vet=1&usg=AI4_-kSmz4X19l9dzgSc8ZuJWr0DcPeMiw&sa=X&ved=2ahUKEwiXxb-dmvbvAhWSDmMBHZjOCWgQ_B16BAgbEAE#imgrc=zxnIBPU2TUC-aM"
46;"Bedelia";"Bonnie";"US";1948;"https://www.google.com/search?q=Bedelia+bonnie&client=firefox-b-d&bih=750&biw=1536&hl=fr&sxsrf=ALeKk03ozkRaCYfPRg_gm6Yk_4gfOSjypg:1618144598378&tbm=isch&source=iu&ictx=1&fir=mgGk459ZBp-mJM%252C_jVDZtbxWOoySM%252C%252Fm%252F0726tw&vet=1&usg=AI4_-kT2YUday9lPlfBWAcnduF7MhESrMQ&sa=X&ved=2ahUKEwjD5uyvmvbvAhV5A2MBHUq3DiMQ_B16BAgmEAE#imgrc=mgGk459ZBp-mJM"
47;"Beals";"Jennifer";"US";1963;"https://www.google.com/search?q=Jennifer+beals&client=firefox-b-d&bih=750&biw=1536&hl=fr&sxsrf=ALeKk03fXDWmJ1di0nSEvidaiFNg6cedCg:1618144640581&tbm=isch&source=iu&ictx=1&fir=mHC0qe4zt4F0aM%252CN5Qr3H5XIGlDdM%252C%252Fm%252F01pxm_&vet=1&usg=AI4_-kQbfeIjlqgZkO2IWhFASEku38qJSQ&sa=X&ved=2ahUKEwjMw_zDmvbvAhXE6eAKHatzD1sQ_B16BAgrEAE#imgrc=mHC0qe4zt4F0aM"
48;"Berenson";"Marisa";"US";1947;"https://www.google.com/search?q=Berenson+Marisa&client=firefox-b-d&bih=750&biw=1536&hl=fr&sxsrf=ALeKk01ChmWxJ8rCC6OH91lUPqOLhuvD5Q:1618144689501&tbm=isch&source=iu&ictx=1&fir=Ipb0J8NgNfMhIM%252Ct2M74DOmtDQKEM%252C%252Fm%252F05swqf&vet=1&usg=AI4_-kQWjmCR7ZXqp-QBvbHY41G8TUx4aQ&sa=X&ved=2ahUKEwicmKbbmvbvAhXgEWMBHQZ_BTEQ_B16BAgoEAE#imgrc=Ipb0J8NgNfMhIM"
49;"Wenders";"Wim";"DE";1945;"https://www.google.com/search?q=Wenders+Wim&client=firefox-b-d&bih=750&biw=1536&hl=fr&sxsrf=ALeKk01AvVXWQpxhvabdKhCGbJuNA1oyJA:1618144735499&tbm=isch&source=iu&ictx=1&fir=tIrA0SyzTBwV9M%252C_k2c4nZ5qLa9YM%252C%252Fm%252F081l_&vet=1&usg=AI4_-kTgZI1n587Uqr62HKxqxfzUtxN_Og&sa=X&ved=2ahUKEwiD553xmvbvAhWQsBQKHaczC0MQ_B16BAgoEAE#imgrc=tIrA0SyzTBwV9M"
50;"Bergman";"Ingmar";"Uppsala";1918;"https://www.google.com/search?q=bergman+ingmar&client=firefox-b-d&bih=750&biw=1536&hl=fr&sxsrf=ALeKk031cI_I-qe0qd0GcetGlIBaPNR-Aw:1618144771927&tbm=isch&source=iu&ictx=1&fir=pd8vn953AYtUvM%252C3Iv_qjDze9ppCM%252C%252Fm%252F03s9b&vet=1&usg=AI4_-kRuq0PBueqi6n-CVA-Tin1MXDQhNg&sa=X&ved=2ahUKEwigrc2Cm_bvAhUNlhQKHWKsBLwQ_B16BAgnEAE#imgrc=pd8vn953AYtUvM"
51;"Cukor";"George";"US";1899;"https://www.google.com/search?q=Cukor+George&client=firefox-b-d&bih=750&biw=1536&hl=fr&sxsrf=ALeKk01JlgbZxPq8KsMCLc_Lo5EqxXPgzQ:1618144819652&tbm=isch&source=iu&ictx=1&fir=MMBBs0m1M54KWM%252CLN_oE-VGBMUkTM%252C%252Fm%252F03bw6&vet=1&usg=AI4_-kRrG8rH8Siahcv5Nvh3aaCcLKlj4w&sa=X&ved=2ahUKEwi2_62Zm_bvAhWND2MBHbVpBMYQ_B16BAgjEAE#imgrc=MMBBs0m1M54KWM"
52;"Cage";"Nicolas";"US";1964;"https://www.google.com/search?q=Cage+nicolas&client=firefox-b-d&bih=750&biw=1536&hl=fr&sxsrf=ALeKk02VejiyHPYIxZe7O1MDkrFhmeRbpA:1618144859877&tbm=isch&source=iu&ictx=1&fir=x6Qt4QvAhRplnM%252Cia3Iu330mImlaM%252C%252Fm%252F01vvb4m&vet=1&usg=AI4_-kSvvu1_8cXlFniN_5P6GxeEKUsesg&sa=X&ved=2ahUKEwjbjsWsm_bvAhURkhQKHQMQA5EQ_B16BAgjEAE#imgrc=x6Qt4QvAhRplnM"
53;"Belzer";"Richard";"US";1944;"https://www.google.com/search?q=BELZER+richard&client=firefox-b-d&bih=750&biw=1536&hl=fr&sxsrf=ALeKk033SSMzk10xZMVxfYcftqMH-4nTlg:1618144887393&tbm=isch&source=iu&ictx=1&fir=AAgaILleCRqrbM%252CYLfpCrkiPrUPKM%252C%252Fm%252F07ycd3&vet=1&usg=AI4_-kTWsBknf4Xlt6MP1k4rzpcNU8w67Q&sa=X&ved=2ahUKEwjd2tS5m_bvAhVr7OAKHfTVCE8Q_B16BAgsEAE#imgrc=AAgaILleCRqrbM"
54;"Cardos";"John";"US";1929;"https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/John_%22Bud%22_Cardos_in_2013.jpg/220px-John_%22Bud%22_Cardos_in_2013.jpg"
55;"Bierman";"Robert";"US";;"static/img/template_img.jpg"
56;"Whedon";"Joss";"US";1964;"https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Joss_Whedon_by_Gage_Skidmore_8.jpg/260px-Joss_Whedon_by_Gage_Skidmore_8.jpg"
57;"Downey Jr";"Robert";"US";1965;"https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Robert_Downey_Jr_2014_Comic_Con_%28cropped%29.jpg/220px-Robert_Downey_Jr_2014_Comic_Con_%28cropped%29.jpg"
58;"Johansson";"Scarlett";"US";1984;"https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Scarlett_Johansson_by_Gage_Skidmore_2_%28cropped%2C_2%29.jpg/220px-Scarlett_Johansson_by_Gage_Skidmore_2_%28cropped%2C_2%29.jpg"
59;"Besson";"Luc";"FR";1959;"https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Luc_Besson_by_Gage_Skidmore.jpg/220px-Luc_Besson_by_Gage_Skidmore.jpg"
60;"Reno";"Jean";"FR";1948;"https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Jean_Reno_Cannes_2016.jpg/220px-Jean_Reno_Cannes_2016.jpg"
61;"Highmore";"Freddie";"UK";"1992";"https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Freddie_Highmore_2013_%28Straighten_Crop%29.jpg/220px-Freddie_Highmore_2013_%28Straighten_Crop%29.jpg"
62;"Ritchie";"Guy";"UK";1968;"https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/GuyRitchiebyKathyHutchins.jpg/220px-GuyRitchiebyKathyHutchins.jpg"
63;"Law";"Jude";"UK";"1972";"https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Jude_Law_-_Headshot.jpg/220px-Jude_Law_-_Headshot.jpg"
